Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
07/06/2025,1,1,N,LZ_WEST,LZ,62.90
07/06/2025,1,2,N,LZ_WEST,LZ,63.22
07/06/2025,1,3,N,LZ_WEST,LZ,65.21
07/06/2025,1,4,N,LZ_WEST,LZ,70.20
07/06/2025,2,1,N,LZ_WEST,LZ,81.19
07/06/2025,2,2,N,LZ_WEST,LZ,77.68
07/06/2025,2,3,N,LZ_WEST,LZ,78.35
07/06/2025,2,4,N,LZ_WEST,LZ,81.63
07/06/2025,3,1,N,LZ_WEST,LZ,96.28
07/06/2025,3,2,N,LZ_WEST,LZ,57.27
07/06/2025,3,3,N,LZ_WEST,LZ,79.77
07/06/2025,3,4,N,LZ_WEST,LZ,82.48
07/06/2025,4,1,N,LZ_WEST,LZ,85.93
07/06/2025,4,2,N,LZ_WEST,LZ,86.03
07/06/2025,4,3,N,LZ_WEST,LZ,88.21
07/06/2025,4,4,N,LZ_WEST,LZ,86.33
07/06/2025,5,1,N,LZ_WEST,LZ,86.16
07/06/2025,5,2,N,LZ_WEST,LZ,101.50
07/06/2025,5,3,N,LZ_WEST,LZ,49.87
07/06/2025,5,4,N,LZ_WEST,LZ,74.94
07/06/2025,6,1,N,LZ_WEST,LZ,112.34
07/06/2025,6,2,N,LZ_WEST,LZ,76.34
07/06/2025,6,3,N,LZ_WEST,LZ,50.79
07/06/2025,6,4,N,LZ_WEST,LZ,128.01
07/06/2025,7,1,N,LZ_WEST,LZ,50.04
07/06/2025,7,2,N,LZ_WEST,LZ,74.14
07/06/2025,7,3,N,LZ_WEST,LZ,159.92
07/06/2025,7,4,N,LZ_WEST,LZ,53.24
07/06/2025,8,1,N,LZ_WEST,LZ,45.95
07/06/2025,8,2,N,LZ_WEST,LZ,51.38
07/06/2025,8,3,N,LZ_WEST,LZ,36.56
07/06/2025,8,4,N,LZ_WEST,LZ,25.61
07/06/2025,9,1,N,LZ_WEST,LZ,26.69
07/06/2025,9,2,N,LZ_WEST,LZ,23.62
07/06/2025,9,3,N,LZ_WEST,LZ,22.22
07/06/2025,9,4,N,LZ_WEST,LZ,22.40
07/06/2025,10,1,N,LZ_WEST,LZ,23.18
07/06/2025,10,2,N,LZ_WEST,LZ,23.85
07/06/2025,10,3,N,LZ_WEST,LZ,23.97
07/06/2025,10,4,N,LZ_WEST,LZ,23.09
07/06/2025,11,1,N,LZ_WEST,LZ,23.14
07/06/2025,11,2,N,LZ_WEST,LZ,23.65
07/06/2025,11,3,N,LZ_WEST,LZ,22.85
07/06/2025,11,4,N,LZ_WEST,LZ,22.56
07/06/2025,12,1,N,LZ_WEST,LZ,23.26
07/06/2025,12,2,N,LZ_WEST,LZ,22.21
07/06/2025,12,3,N,LZ_WEST,LZ,22.72
07/06/2025,12,4,N,LZ_WEST,LZ,22.43
07/06/2025,13,1,N,LZ_WEST,LZ,21.70
07/06/2025,13,2,N,LZ_WEST,LZ,21.19
07/06/2025,13,3,N,LZ_WEST,LZ,21.44
07/06/2025,13,4,N,LZ_WEST,LZ,21.21
07/06/2025,14,1,N,LZ_WEST,LZ,22.94
07/06/2025,14,2,N,LZ_WEST,LZ,23.26
07/06/2025,14,3,N,LZ_WEST,LZ,22.12
07/06/2025,14,4,N,LZ_WEST,LZ,21.17
07/06/2025,15,1,N,LZ_WEST,LZ,20.41
07/06/2025,15,2,N,LZ_WEST,LZ,20.56
07/06/2025,15,3,N,LZ_WEST,LZ,23.01
07/06/2025,15,4,N,LZ_WEST,LZ,22.05
07/06/2025,16,1,N,LZ_WEST,LZ,21.69
07/06/2025,16,2,N,LZ_WEST,LZ,20.74
07/06/2025,16,3,N,LZ_WEST,LZ,21.48
07/06/2025,16,4,N,LZ_WEST,LZ,21.19
07/06/2025,17,1,N,LZ_WEST,LZ,20.82
07/06/2025,17,2,N,LZ_WEST,LZ,21.45
07/06/2025,17,3,N,LZ_WEST,LZ,21.67
07/06/2025,17,4,N,LZ_WEST,LZ,24.11
07/06/2025,18,1,N,LZ_WEST,LZ,24.28
07/06/2025,18,2,N,LZ_WEST,LZ,24.87
07/06/2025,18,3,N,LZ_WEST,LZ,22.96
