ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,00:00,00:15,0.941,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,00:15,00:30,1.171,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,00:30,00:45,1.046,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,00:45,01:00,0.720,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,01:00,01:15,0.922,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,01:15,01:30,1.123,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,01:30,01:45,0.979,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,01:45,02:00,0.758,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,02:00,02:15,0.797,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,02:15,02:30,1.056,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,02:30,02:45,1.027,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,02:45,03:00,0.710,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,03:00,03:15,0.730,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,03:15,03:30,1.056,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,03:30,03:45,1.027,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,03:45,04:00,0.758,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,04:00,04:15,0.691,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,04:15,04:30,1.008,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,04:30,04:45,1.008,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,04:45,05:00,0.662,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,05:00,05:15,0.749,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,05:15,05:30,1.315,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,05:30,05:45,1.248,A,Consumption
'1008901025003042400122,07/06/2025,07/06/2025 11:09:18,05:45,06:00,0.816,A,Consumption
