ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10204049770688980,07/06/2025,07/09/2025 11:38:39,00:00,00:15,840.480,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,00:15,00:30,840.000,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,00:30,00:45,840.000,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,00:45,01:00,839.520,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,01:00,01:15,841.440,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,01:15,01:30,841.440,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,01:30,01:45,839.520,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,01:45,02:00,839.040,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,02:00,02:15,838.560,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,02:15,02:30,838.080,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,02:30,02:45,836.160,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,02:45,03:00,835.200,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,03:00,03:15,835.680,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,03:15,03:30,835.680,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,03:30,03:45,836.160,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,03:45,04:00,835.680,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,04:00,04:15,833.760,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,04:15,04:30,833.760,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,04:30,04:45,831.360,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,04:45,05:00,830.880,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,05:00,05:15,804.960,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,05:15,05:30,827.520,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,05:30,05:45,827.040,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,05:45,06:00,826.080,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,06:00,06:15,824.640,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,06:15,06:30,827.520,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,06:30,06:45,828.000,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,06:45,07:00,828.960,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,07:00,07:15,829.920,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,07:15,07:30,825.600,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,07:30,07:45,826.560,A,Consumption
'10204049770688980,07/06/2025,07/09/2025 11:38:39,07:45,08:00,827.040,A,Consumption
