ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION,Interval Start,Settlement Point Price,COST
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 00:00:00,00:15,0.194,A,Consumption,2025-07-06 00:00:00,0.03089,0.00599266
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 00:15:00,00:30,0.105,A,Consumption,2025-07-06 00:15:00,0.028210000000000002,0.0029620500000000004
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 00:30:00,00:45,0.157,A,Consumption,2025-07-06 00:30:00,0.02666,0.00418562
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 00:45:00,01:00,0.244,A,Consumption,2025-07-06 00:45:00,0.026449999999999998,0.006453799999999999
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 01:00:00,01:15,0.232,A,Consumption,2025-07-06 01:00:00,0.02583,0.00599256
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 01:15:00,01:30,0.136,A,Consumption,2025-07-06 01:15:00,0.02573,0.00349928
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 01:30:00,01:45,0.127,A,Consumption,2025-07-06 01:30:00,0.02693,0.00342011
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 01:45:00,02:00,0.217,A,Consumption,2025-07-06 01:45:00,0.02684,0.005824279999999999
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 02:00:00,02:15,0.207,A,Consumption,2025-07-06 02:00:00,0.02684,0.005555879999999999
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 02:15:00,02:30,0.096,A,Consumption,2025-07-06 02:15:00,0.026420000000000003,0.0025363200000000003
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 02:30:00,02:45,0.136,A,Consumption,2025-07-06 02:30:00,0.027280000000000002,0.0037100800000000006
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 02:45:00,03:00,0.194,A,Consumption,2025-07-06 02:45:00,0.02686,0.00521084
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 03:00:00,03:15,0.112,A,Consumption,2025-07-06 03:00:00,0.02702,0.00302624
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 03:15:00,03:30,0.091,A,Consumption,2025-07-06 03:15:00,0.02693,0.0024506299999999996
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 03:30:00,03:45,0.165,A,Consumption,2025-07-06 03:30:00,0.026789999999999998,0.00442035
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 03:45:00,04:00,0.016,A,Consumption,2025-07-06 03:45:00,0.02625,0.00042
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 04:00:00,04:15,0.172,A,Consumption,2025-07-06 04:00:00,0.026609999999999998,0.004576919999999999
1008901025003740870123,2025-07-06,07/06/2025 10:42:19,0 days 04:15:00,04:30,0.109,A,Consumption,2025-07-06 04:15:00,0.02641,0.0028786899999999997
