ESIID,Total Cost ($),Source File
1008901023804977070100,1.92544247,IntervalData (1)
1008901010120771555100,0.42574996,IntervalData (10)
1008901022900894520114,0.77420911,IntervalData (11)
1008901025003740860123,1.00126749,IntervalData (12)
1008901025003740870123,0.81065573,IntervalData (13)
1008901025002527680122,1.61795048,IntervalData (14)
1008901023808838090100,2.73426816,IntervalData (15)
1008901025003042400122,3.81929104,IntervalData (16)
1008901023807136220100,1.70080649,IntervalData (17)
1008901025001032000121,1.38531729,IntervalData (18)
1008901023901322010117,0.6520546700000001,IntervalData (2)
1008901010120781220100,13.31402488,IntervalData (3)
1008901051393282544100,7.44093936,IntervalData (4)
1008901019193378625100,0.33938612,IntervalData (5)
1008901019193378626100,0.12658984,IntervalData (6)
1008901019193378629100,0.05130253,IntervalData (7)
1008901023800418450100,1.77765782,IntervalData (8)
1008901008117871625100,3.64307339,IntervalData (9)
